zona,precos,quartos,areas
norte,1000.0,2,45
norte,750000.0,,28
norte,750000.0,,28
norte,2500.0,4,107
norte,1300.0,2,50
norte,1000.0,2,60
norte,2400.0,2,1086
norte,1300.0,1,58
norte,2000.0,2,60
norte,900000.0,2,50
norte,1380.0,2,56
norte,990000.0,2,60
norte,2033.0,2,65
norte,1100.0,2,65
norte,1040.0,3,60
norte,1650.0,2,56
norte,1060.0,2,56
norte,1000.0,2,60
norte,1000.0,2,60
norte,1480.0,2,70
norte,1131.0,1,32
norte,2800.0,3,93
norte,1100.0,2,60
norte,3000.0,4,155
norte,2980.0,3,150
norte,1600.0,1,50
norte,5500.0,4,234
norte,1590.0,3,74
norte,1700.0,2,57
norte,1470.0,2,70
norte,1590.0,2,55
norte,1430.0,2,50
norte,1750.0,3,78
norte,1650.0,3,71
norte,1485.0,2,78
norte,3600.0,3,120
norte,1330.0,1,33
norte,5500.0,4,420
norte,1300.0,2,73
norte,1700.0,3,70
norte,1650.0,2,53
norte,1280.0,2,60
norte,1400.0,2,64
norte,2315.0,2,68
norte,1700.0,2,68
norte,1150.0,1,60
norte,5870.0,3,157
norte,1170.0,2,51
norte,1700.0,2,50
norte,3030.0,3,250
norte,1210.0,2,60
norte,3500.0,3,140
norte,1485.0,3,80
norte,2000.0,3,100
norte,1900.0,2,69
norte,1870.0,2,70
norte,1500.0,2,113
norte,1650.0,1,35
norte,1700.0,2,57
norte,2900.0,3,195
norte,3300.0,2,47
norte,2762.0,3,138
norte,900000.0,1,35
norte,1320.0,2,60
norte,900000.0,1,40
norte,2201.0,3,160
norte,1760.0,2,58
norte,2750.0,3,93
norte,4400.0,2,58
norte,2530.0,2,150
norte,4400.0,3,230
norte,1500.0,3,70
norte,3200.0,4,320
norte,2750.0,3,137
norte,1275.0,3,135
norte,1210.0,1,35
norte,2200.0,2,58
norte,1210.0,3,90
norte,1000.0,2,50
norte,1220.0,2,49
norte,1383.0,2,42
norte,1288.0,1,59
norte,6000.0,5,290
norte,1265.0,2,50
norte,1870.0,2,60
norte,2500.0,3,120
norte,2750.0,3,98
norte,1251.0,2,47
norte,4400.0,2,50
norte,4180.0,2,72
norte,3597.0,4,126
norte,2200.0,2,68
norte,4400.0,4,203
norte,2750.0,3,120
norte,4180.0,2,74
norte,1150.0,1,35
norte,4180.0,2,74
norte,4180.0,2,74
norte,3800.0,4,230
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,73
norte,4180.0,2,74
norte,4180.0,2,74
norte,4180.0,2,74
norte,1300.0,2,75
norte,2250.0,3,74
norte,1312.0,1,32
norte,1400.0,2,57
norte,1290.0,1,34
norte,2150.0,2,97
norte,2200.0,2,92
norte,1900.0,3,61
norte,1550.0,1,43
norte,2750.0,2,60
norte,1650.0,3,115
norte,1700.0,2,68
norte,1250.0,2,62
norte,4950.0,3,120
norte,1310.0,1,34
norte,4180.0,2,74
norte,1320.0,2,50
norte,4180.0,2,74
norte,1330.0,1,35
norte,4180.0,2,74
norte,3120.0,4,296
norte,1000.0,2,60
norte,2340.0,3,77
norte,1790.0,2,98
norte,1000.0,2,60
norte,5000.0,3,135
norte,1490.0,2,65
norte,2130.0,2,80
norte,1100.0,2,60
norte,1040.0,2,60
norte,1850.0,2,59
norte,1717.0,2,70
norte,1250.0,2,76
norte,1890.0,3,76
norte,1040.0,2,60
norte,990000.0,2,60
norte,1060.0,2,60
norte,1060.0,2,60
norte,1150.0,2,60
norte,1040.0,2,60
norte,1120.0,2,60
norte,1375.0,2,45
norte,1540.0,3,53
norte,1200.0,2,54
norte,1900.0,2,64
norte,1430.0,1,30
norte,1910.0,2,52
norte,5800.0,2,80
norte,1800.0,2,57
norte,1600.0,2,62
norte,2300.0,2,55
norte,2860.0,3,80
norte,2300.0,2,50
norte,4400.0,4,150
norte,2250.0,3,155
norte,2300.0,2,80
norte,4250.0,2,62
norte,2500.0,3,95
norte,1590.0,2,80
norte,2550.0,3,74
norte,2400.0,2,52
norte,2130.0,3,77
norte,3880.0,3,182
norte,4500.0,3,100
norte,1200.0,2,78
norte,4250.0,3,96
norte,1900.0,2,45
norte,4250.0,3,79
norte,1400.0,2,70
norte,1600.0,3,112
norte,1500.0,2,50
norte,1400.0,2,60
norte,1200.0,2,62
norte,1100.0,1,340
norte,950000.0,1,38
norte,1400.0,2,80
norte,1200.0,2,62
norte,900000.0,1,45
norte,1350.0,2,48
norte,880000.0,2,55
norte,1400.0,2,50
norte,2000.0,3,120
norte,972000.0,1,40
norte,850000.0,1,45
norte,1100.0,2,47
norte,1340.0,1,34
norte,950000.0,1,40
norte,2200.0,2,90
norte,1000.0,2,59
norte,1630.0,1,43
norte,1800.0,2,100
norte,1290.0,1,34
norte,2090.0,3,63
norte,1000.0,2,44
norte,1330.0,1,34
norte,1280.0,1,34
norte,800000.0,1,11
norte,800000.0,1,11
norte,800000.0,1,11
norte,5500.0,2,45
norte,1000.0,2,52
norte,600000.0,1,20
norte,880000.0,1,12
norte,8765.0,1,20
norte,700000.0,1,30
norte,950000.0,,38
norte,850000.0,2,70
norte,700000.0,1,160
norte,600000.0,1,70
norte,720000.0,1,40
norte,2000.0,5,150
norte,1000.0,1,90
norte,1200.0,2,75
norte,1299.0,2,80
norte,590000.0,1,30
norte,800000.0,1,10
norte,1000.0,1,50
norte,20000.0,,1000
norte,950000.0,1,55
norte,115000.0,,7800
norte,2600.0,3,110
norte,1700.0,2,58
norte,16000.0,,640
norte,1800.0,2,45
norte,95000.0,,4728
norte,7500.0,3,151
norte,1390.0,2,50
norte,2000.0,1,70
norte,1280.0,2,50
norte,820000.0,1,40
norte,700000.0,1,38
norte,1400.0,2,50
norte,1200.0,2,65
norte,2000.0,1,28
norte,1649.0,2,50
norte,2000.0,2,62
norte,1660.0,2,63
norte,900000.0,1,45
norte,830000.0,1,60
norte,1540.0,3,60
norte,1450.0,2,52
norte,3000.0,2,150
norte,1380.0,2,52
norte,1300.0,2,65
norte,970000.0,2,60
norte,2490.0,2,68
norte,1600.0,2,106
norte,2000.0,3,124
norte,2800.0,1,90
norte,1330.0,1,34
norte,1500.0,2,71
norte,2160.0,3,67
norte,1269.0,2,72
norte,1150.0,2,58
norte,1900.0,2,68
norte,26300.0,,1150
norte,3590.0,3,230
norte,1170.0,1,55
norte,1280.0,1,34
norte,1100.0,1,40
norte,2300.0,1,49
norte,1340.0,2,52
norte,3500.0,3,172
norte,1500.0,2,62
norte,1350.0,1,59
norte,3080.0,2,65
norte,2500.0,2,300
norte,1300.0,2,74
norte,1800.0,3,66
norte,1700.0,3,72
norte,1230.0,2,58
norte,2200.0,2,72
sul,1700.0,2,49
sul,1100.0,2,57
sul,7500.0,3,156
sul,600000.0,,560
sul,1500.0,2,68
sul,1700.0,2,70
sul,1000.0,2,96
sul,1150.0,1,28
sul,1105.0,3,69
sul,1390.0,1,32
sul,1182.0,2,62
sul,2800.0,2,106
sul,1090.0,2,60
sul,1500.0,1,31
